Species,TotalMiss
Aplogompha_lafayi_FLAJ145 ,77.121671
Aplogompha_sp_FLAJ101 ,29.206971
Argyrotome_arcuata_FLAJ46 ,71.071898
Argyrotome_alba_FLAJ90 ,20.486777
Argyrotome_cf_arcuata_FLAJ102 ,62.454180
Argyrotome_mira_FLAJ76 ,16.247635
Argyrotome_cf_mira_FLAJ91 ,19.673018
Argyrotome_cf_prospectata_FLAJ95 ,15.005829
Argyrotome_ferruginea_FLAJ136 ,51.955609
Argyrotome_melae_FLAJ61 ,22.520168
Argyrotome_prospectata_FLAJ94 ,9.852804
Argyrotome_tenebrosa_FLAJ141 ,74.394804
Iridopsis_defectaria_FLAJ109 ,28.445626
Lomographa_sp_FLAJ92 ,21.259546
Lomographa_sp_FLAJ93 ,26.747886
Opisthoxia_metargyria_FLAJ77 ,19.605485
Opisthoxia_claudiaria_FLAJ24 ,15.401957
Opisthoxia_salubaea_FLAJ52 ,18.901929
Ophthalmoblysis_ibarrai_FLAJ82 ,26.600052
Ophthalmoblysis_lydius_FLAJ35 ,79.539766
Opisthoxia_vitenaria_FLAJ58 ,7.891651
Opisthoxia_amphiaria_FLAJ18 ,70.882065
Opisthoxia_asopis_FLAJ50 ,10.798942
Opisthoxia_bracteata_FLAJ26 ,27.908719
Opisthoxia_cassandra_FLAJ51 ,17.838196
Opisthoxia_cf_bella_FLAJ99 ,45.513068
Opisthoxia_cf_trimaculata_FLAJ29 ,12.860220
Opisthoxia_contariata_FLAJ131 ,57.031358
Opisthoxia_corinnaria_FLAJ110 ,61.345088
Opisthoxia_danaeata_FLAJ27 ,62.754216
Opisthoxia_dora_FLAJ17 ,69.948359
Opisthoxia_eusiraria_FLAJ97 ,15.018261
Opisthoxia_formosante_FLAJ54 ,13.886322
Opisthoxia_miletia_FLAJ48 ,5.747721
Opisthoxia_nr_uncinata_FLAJ146 ,31.968108
Opisthoxia_saturniaria_FLAJ80 ,56.612382
Opisthoxia_uncinata_FLAJ55 ,8.293491
Opisthoxia_amphiaria_FLAJ19 ,60.412726
Palyas_pallicosta_FLAJ119 ,75.992756
Phrygionis_auriferaria_FLAJ83 ,41.597145
Phrygionis_auriferaria_FLAJ84 ,32.518454
Phrygionis_cf_polita_FLAJ70 ,28.901895
Phrygionis_dominica_FLAJ122 ,19.995901
Phrygionis_paradoxata_FLAJ04 ,30.728318
Phrygionis_paradoxata_FLAJ124 ,51.893452
Phrygionis_platinata_FLAJ02 ,64.093794
Phrygionis_platinata_FLAJ86 ,8.519274
Phrygionis_platinata_platinata_FLAJ107 ,75.554630
Phrygionis_polita_FLAJ07 ,10.602390
Phrygionis_privignaria_FLAJ57 ,21.466178
Phrygionis_privignaria_FLAJ67 ,23.451186
Pityeja_histrionaria_FLAJ88 ,25.282313
Pityeja_nazada_FLAJ87 ,32.738525
Plutodes_costatus_FLAJ150 ,14.502522
Plutodes_costatus_FLAJ151 ,28.604547
Tasta_micaceata_FLAJ148 ,50.733963
Tasta_micaceata_FLAJ149 ,14.432636
Argyrotome_melae_FLAJ59 ,29.516415
Opisthoxia_cf_mononaria_FLAJ62 ,21.108688
Opisthoxia_danaeata_FLAJ37 ,62.627885
Opisthoxia_hybridata_FLAJ79 ,18.002157
Opisthoxia_cf_boliviari_FLAJ22 ,66.555903
Opisthoxia_cf_boliviari_FLAJ98 ,29.054769
Opisthoxia_cf_mononaria_FLAJ100 ,24.564645
Opisthoxia_metargyria_FLAJ133 ,46.315404
Opisthoxia_sp_FLAJ63 ,13.790566
Palyas_micaceraria_FLAJ89 ,21.409396
Palyas_divitaria_FLAJ118 ,79.481976
Phrygionis_cf_polita_FLAJ78 ,20.198165
Opisthoxia_claudiaria_FLAJ115 ,82.335173
Argyrotome_mexicaria_FLAJ96 ,30.975268
Ophthalmoblysis_croesus_FLAJ34 ,86.184907
Opisthoxia_formosante_FLAJ117 ,79.642914
